lang|text|created_at
en|RT @NumbersMuncher: Trump's totally just making sure that they are both voting for Hillary here. https://t.co/3zUfKprjYF|Tue Nov 08 23:10:33 +0000 2016
en|RT @mattfotis: This cake is equally amazing and will haunt my dreams. It also perfectly captures the sad fragile man inside… |Tue Nov 08 23:10:34 +0000 2016
en|"RT @SirJadeja: Whom Did You Vote?

RT For #DonaldTRUMP
Fav For #HillaryClinton

#ElectionDay #ElectionNight #Elections2016 #Vote2016 #Trump…"|Tue Nov 08 23:10:34 +0000 2016
en|RT @Lrihendry: LOOK who just voted for Donald Trump! His biggest fan and unofficial Trump cartoonist #TRUMPTOON… |Tue Nov 08 23:10:34 +0000 2016
en|RT @whytruy: vote hillary clinton🙌🏽 idc if she a liar yall boyfriends lie to yall everyday &amp; yall still fw them so gone head &amp; vote for her|Tue Nov 08 23:10:34 +0000 2016
en|RT @Hammonda1: This is quite some logic https://t.co/JI4PUIPWBx|Tue Nov 08 23:10:34 +0000 2016
en|RT @Sputnik_Not: Donald and Eric #Trump deny being paranoid, say they didn't know how to fill the #ballot #ElectionDay #Election2016… |Tue Nov 08 23:10:34 +0000 2016
en|RT @JoyAnnReid: Hillary Clinton being tied among white voters with a college degree is actually a huge swing toward Democrats. #ExitPolls|Tue Nov 08 23:10:34 +0000 2016
en|RT @Telegraph: This is commitment... A woman goes into labour and stops by a polling station en route to a hospital #ElectionDay https://t.…|Tue Nov 08 23:10:34 +0000 2016
en|RT @heatherkh: @KendallTTaggart so participating in the democratic process is a waste of time if you don't get your way @realDonaldTrump ?…|Tue Nov 08 23:10:34 +0000 2016
en|RT @UTHornsRawk: WOO HOOO GO GO GO VOTE TRUMP! FEEL THE MOMENTUM- GET OUT AND GO VOTE NOW!  TRUMP LOVES ALL AMERICANS #MAGA3X https://t.co/…|Tue Nov 08 23:10:34 +0000 2016
en|"RT @kaattxo: ""Hillary for prison"" says the frat boy as he snorts a line of Coke and sells xanax to his campus"|Tue Nov 08 23:10:34 +0000 2016
en|What color will @HillaryClinton's #pantsuit be? What will @MELANIATRUMP wear? #ElectionNight|Tue Nov 08 23:10:34 +0000 2016
en|RT @murdamami06: Vote for Hillary! 😂 I know she's a liar but y'all boyfriend's are liars and y'all still together 😂💀💀💀|Tue Nov 08 23:10:34 +0000 2016
en|RT @TheHazelHayes: #Trump is a big, fat, orange, Putin-loving, gay-bashing, hate-mongering, wall-building, gun-toting, wig-wearing, pussy-g…|Tue Nov 08 23:10:34 +0000 2016
en|RT @fentyy: Rihanna deadass wearing a t-shirt of herself wearing a t-shirt of Hillary Clinton  #ElectionDay https://t.co/OKngY7lvNs|Tue Nov 08 23:10:34 +0000 2016
en|RT @gunnerrr: Hillary do anything to win ! She lies to much !  #ElectionNight|Tue Nov 08 23:10:34 +0000 2016
en|RT @HillaryforCO: Retweet if you already voted for Hillary Rodham Clinton to be our first woman president. #HILLorado https://t.co/505NQgT1…|Tue Nov 08 23:10:34 +0000 2016
en|RT @maakaylakellyyy: Voting for Hillary means... https://t.co/ziP1Q9RVrQ|Tue Nov 08 23:10:34 +0000 2016
en|RT @CloydRivers: Votin' for Hillary just because you don't like Trump, is like eatin' a turd just because you don't like broccoli. Merica.|Tue Nov 08 23:10:34 +0000 2016
en|RT @ParksPics: BREAKING HILLARY CLINTON NEWS THAT COULD COST HER THE ELECTION https://t.co/tdjwZ6McOc|Tue Nov 08 23:10:34 +0000 2016
en|RT @MrDane1982: I voted for Hillary Clinton! I waited for 25 years to vote for this woman for President, it was a honor and privile… |Tue Nov 08 23:10:34 +0000 2016
en|@FrankLuntz All you do is lie for Hillary.|Tue Nov 08 23:10:34 +0000 2016
en|@realDonaldTrump #ElectionNight getting ready to go vote. Screw corrupt Hillary|Tue Nov 08 23:10:34 +0000 2016
en|RT @filthyson: Y'all know Hillary won three months ago right? This is like the Globetrotters and the Generals except they're both white rac…|Tue Nov 08 23:10:34 +0000 2016
en|Watch @LadyGaga and @BonJovi perform for Hillary Clinton! #ElectionDay #Election2016 https://t.co/7Fx3KJHirk|Tue Nov 08 23:10:34 +0000 2016
en|RT @african_monkey: Soulja Boy tell em https://t.co/ok6LVBqZCh|Tue Nov 08 23:10:34 +0000 2016
en|RT @souljaboy: I hope Hillary win fuck trump stupid ass|Tue Nov 08 23:10:34 +0000 2016
en|RT @jojoh888: Today we #MAGA #Election2016 #ElectionDay time to make things right again #VoteTrump #TrumpPence16 #TrumpTrain… |Tue Nov 08 23:10:34 +0000 2016
en|RT @RealScottErnst: EVERY #TRUMP VOTER IN #PENNSYLVANIA NEEDS TO WATCH A POLLING SITE.  #DEMOCRATS ARE COMMITTING MASSIVE #VOTERFRAUD.|Tue Nov 08 23:10:34 +0000 2016
en|RT @CloydRivers: Votin' for Hillary just because you don't like Trump, is like eatin' a turd just because you don't like broccoli. Merica.|Tue Nov 08 23:10:34 +0000 2016
en|@Alexand3rTheMeh @DavidShuster but then we’d learn that a vote for Hillary Clinton was actually counted as 1.4 votes and we can’t have that|Tue Nov 08 23:10:34 +0000 2016
en|Some days you just have to create your own sunshine. #nyvotes Hillary o Trump https://t.co/KKgN2YVf8y|Tue Nov 08 23:10:34 +0000 2016
en|RT @FoxNews: Fox News #ExitPoll: Better to handle the economy - @realDonaldTrump leads @HillaryClinton 48% to 46%.… |Tue Nov 08 23:10:34 +0000 2016
en|RT @nick_ayers: Never shared this: photo of @mike_pence &amp; me right after he hung up phone accepting offer @realDonaldTrump made in… |Tue Nov 08 23:10:34 +0000 2016
en|RT @FoxNews: Fox News #ExitPoll: Top candidate quality: Can Bring Change - @realDonaldTrump wins 82%. #ElectionNight… |Tue Nov 08 23:10:34 +0000 2016
en|RT @Portosj81J: #ImVotingBecause Hillary Clinton paid $62 million to Jay Z and Beyonce for their tricks while our Vets go hungry and homele…|Tue Nov 08 23:10:34 +0000 2016
en|RT @TheTrumpLady: “I don’t think Hillary has a soul. I hope it haunts her.” - former ranger Kris “Tanto” Paronto Benghazi Survivor https://…|Tue Nov 08 23:10:34 +0000 2016
en|#Trump #America #trumptrain #nomorebullshit @ Florida For Trump https://t.co/OaLPsmrUUK|Tue Nov 08 23:10:34 +0000 2016
en|God love you!!! #TrumpPence16 https://t.co/5WMeIN3dgc|Tue Nov 08 23:10:34 +0000 2016
en|RT @regionaltracks: you need an at least decent education. first, its president dumbass. second, obama isnt out until january. https://t.co…|Tue Nov 08 23:10:34 +0000 2016
en|Hillary Makes Careless and Reckless Decisions America Is Worth More Than Easy Decisions. #FLVotes #jacksonville… https://t.co/l7I94paG3D|Tue Nov 08 23:10:34 +0000 2016
en|Kmsl . The last part tho . https://t.co/eDPfYVbc5O|Tue Nov 08 23:10:34 +0000 2016
en|"RT @Stonewall_77: OPEN BORDERS, UNCONTROLLED MOB MIGRATION
That's What Hillary Stands For
😡​😡​😡​
#iVoted #Voted
#ElectionDay… "|Tue Nov 08 23:10:34 +0000 2016
en|RT @es_snipes: So I hear that @KingJames is going to stand with @HillaryClinton in Cleveland but refused to stand in the same city with Tam…|Tue Nov 08 23:10:35 +0000 2016
en|@maidanaesteban @MichaelDTubbs Hillary all the way...?|Tue Nov 08 23:10:34 +0000 2016
en|"RT @TrumpD2016: ""I have no special interest but YOU, the American voter."" - @realDonaldTrump #MakeAmericaGreatAgain #ElectionDay https://t.…"|Tue Nov 08 23:10:34 +0000 2016
en|RT @rebel2187: Donald and Hillary made an appearance in US Gov today 😂 https://t.co/zOJflct4WM|Tue Nov 08 23:10:35 +0000 2016
en|RT @HillaryforOH: Rose escaped Nazi Germany at 15 &amp; is a proud American! Despite a recent broken hip, she just proudly cast her ballo… |Tue Nov 08 23:10:34 +0000 2016
en|RT @WDFx2EU8: Beyonce Wearing Goat Head Ring During Hillary Clinton Campaign Performance #SpiritCooking #Satanism #Luciferianism… |Tue Nov 08 23:10:35 +0000 2016
en|why would he do this? i mean, i know why, but why? https://t.co/7QTekANDUr|Tue Nov 08 23:10:35 +0000 2016
en|"RT @jimcc66: Hey Bill, Wife and I voted for #Trump today took Grand-kids with us
Were gonna #MAGA

God Bless you, #DonaldTrump &amp;… "|Tue Nov 08 23:10:34 +0000 2016
en|Jon Bon Jovi joins Hillary Clinton for mannequin challenge https://t.co/J5vOTvJs1v|Tue Nov 08 23:10:34 +0000 2016
en|RT @d_seaman: Americans are struggling financially, crime is rising, Hillary &amp; co were outed by WIKILEAKS as literal Satanists. TRUMP LANDS…|Tue Nov 08 23:10:35 +0000 2016
en|RT @BrailleSkate: What if Hillary and Trump played Skate Everything WARS!!! https://t.co/lHLLMIeKHO https://t.co/xNgmXrSbEo|Tue Nov 08 23:10:35 +0000 2016
en|RT @ViralNova101: When you're tired of pretending not to be Nazis. #Hillary rally, typical supporter wear. #ElectionDay… |Tue Nov 08 23:10:35 +0000 2016
en|"RT @RonBasler1: My 19 year old just cast his Vote 4 @realDonaldTrump

#Proud Dad

 @Lrihendry @mitchellvii  @mkues65 @MrEdTrain… "|Tue Nov 08 23:10:35 +0000 2016
en|Never gets old 😄 https://t.co/gkcEdCM32U|Tue Nov 08 23:10:35 +0000 2016
en|We have proven that for SURE, WE came close, but I think TRUMP has IT, He Better!!! #USAALLTHEWAYTOVICTORY… https://t.co/xdMRBPtVOE|Tue Nov 08 23:10:35 +0000 2016
en|"RT @johnny4arizona: Retweeted LADIES 4 TRUMP (@ladies4trump):

I got 15 ppl in my family that voted #Trump in FL. With 29 electoral... http…"|Tue Nov 08 23:10:35 +0000 2016
en|RT @FoxGotTrumped: Something feels right about tonight. I think a Trump landslide is incoming. #ElectionDay #ElectionNight #MakeAmericaGrea…|Tue Nov 08 23:10:35 +0000 2016
en|"RT @MeanwhileinCana: I hope none of our southern friends need this emergency service tomorrow. 
#ElectionDay #Trump… "|Tue Nov 08 23:10:35 +0000 2016
en|"RT @YoungDems4Trump: Hillary should be tried for Treason. Not run for the President of the United States.

#ElectionDay
#MyVote2016"|Tue Nov 08 23:10:35 +0000 2016
en|RT @mitchellvii: Remember, Hillary is 46,000 votes behind Obama in just Pinellas County.|Tue Nov 08 23:10:35 +0000 2016
en|RT @FoxNews: Fox News #ExitPoll: Top candidate quality: Can Bring Change - @realDonaldTrump wins 82%. #ElectionNight… |Tue Nov 08 23:10:35 +0000 2016
en|RT @TheHazelHayes: #Trump is a big, fat, orange, Putin-loving, gay-bashing, hate-mongering, wall-building, gun-toting, wig-wearing, pussy-g…|Tue Nov 08 23:10:35 +0000 2016
en|@bouzille6 @realDonaldTrump So You are voting for honest Hillary? 😂|Tue Nov 08 23:10:35 +0000 2016
